,,,,,, ,,Updated on:,8/13/2026 1:26 PM,,,5957,,,,,,
Item,Description,Cases Available,Suggested Quantity USA,Suggested Quantity ITA,Confirmed Quantity,Comments,,Item,Description,Lot#,Receipt Date,Cases Available,Reserved,Comments,Net Available,Expiration Date,,
20533,AGED TRUFFLE CHEESE BLACK,150,,,,News about production? Baldor,,20520,TALEGGIO CHEESE PDO WHOLE WHEEL,1312778,07/23/2026,28,,,130.964,07/02/2027,,
20569,BIANCO D'ITALIA 1/4 WHEEL,84,,,,Cowbell,,20533,AGED TRUFFLE CHEESE BLACK,1296197,05/15/2026,30,,,135.68,12/16/2026,,
20584,STELVIO PDO CHEESE WHOLE WHEEL,9,,,,<30?,,20533,AGED TRUFFLE CHEESE BLACK,1316590,08/06/2026,120,,,609.14,03/12/2027,,
20586,LAGREIN,0,,,,not interesting for the stock,,20533,AGED TRUFFLE CHEESE BLACK,269458815,ETA 9/1,#120,,,604.02,Apr-27,,
20700,PECORINO WW 14oz,0,,,,not interesting for the stock,,20569,BIANCO D'ITALIA 1/4 WHEEL,1285661,04/03/2026,84,,Cowbell monthly plan Sept,1609.322,03/09/2027,,
20701,PECORINO OLIVE,0,,,,not interesting for the stock,,20584,STELVIO PDO CHEESE WHOLE WHEEL,1312762,07/23/2026,9,,,195.79,02/13/2027,,
20702,PECORINO CURRY,0,,,,not interesting for the stock,,20724,ALPEGGIO AGED CHEESE WHOLE WHEEL,1304242,06/18/2026,18,,,228.966,05/07/2027,,
20703,PECORINO GHIOTTO,0,,,,not interesting for the stock,,20724,ALPEGGIO AGED CHEESE WHOLE WHEEL,1312770,07/23/2026,30,,,391.58,06/17/2027,,
20717,BIANCO DURO D' EUROPA,0,,,,Selected preorder in Full Container directly to Houston,,40020,MONTASIO CHEESE WHOLE WHEEL,627138157,ETA 8/25,#60,,,768.52,Jul-27,,
20719,PECORINO ZAFFERANO E PEPE,0,,,,not interesting for the stock,,40103,PECORINO ROMANO PDO WHOLE WHEEL,1285662,04/03/2026,7,5,Di Palo 0814,392.658,03/06/2027,,
