,,,,,, ,,Updated on:,9/17/2026 10:51,,,,,,,,
Item,Description,Cases Available,Suggested Quantity USA,Suggested Quantity ITA,Confirmed Quantity,Comments,,Item,Description,Lot#,Receipt Date,Cs Avail,Reserved,Comments,Net Avail,Exp Date,
30017,APERICHEESE WHITE,0,,,,product ready? NEW,,02005,ASIAGO FRESCO PDO WHOLE WHEEL,1322638,09/01/2026,10,,,277.67,07/23/2027,
40020,MONTASIO CHEESE WHOLE WHEEL,0,,,,do we have <25?,,02073,ASIAGO FRESCO PDO 1/4 WHEEL NT,1316588,08/06/2026,66,,,448.81,03/11/2027,
40086,MONTASIO PDO 7OZ,0,,,,"problem with the label for USA, no project in the moment for this ITEM",,02073,ASIAGO FRESCO PDO 1/4 WHEEL NT,1308183,07/03/2026,200,,,"1,418.10",02/03/2027,
40103,PECORINO ROMANO PDO WHOLE WHEEL,0,,,,keep 1-2 pallet in stock,,02073,ASIAGO FRESCO PDO 1/4 WHEEL NT,269381444,ETA 10/08,120,,,865.2,May-27,
40104,PECORINO ROMANO PDO 1/4 WHEEL,45,,,,keep 1-2 pallet in stock,,02091,ASIAGO FRESCO PDO 7 OZ EW,269381432,ETA 10/08,24,10,Lettieri 0003200,126.72,May-27,
40105,PECORINO GRANGLONA CHEESE,10,,,,Selected - waiting for feedback,,02206,MOUNTAIN ASIAGO FRESCO PDO WW,1296190,05/15/2026,4,,,118.449,12/16/2026,
40107,PIAVE MEZZANO PDO WHOLE WHEEL,43,,,,,,02206,MOUNTAIN ASIAGO FRESCO PDO WW,1296191,05/15/2026,24,,15 DIPALO HOLIDAY,713.88,12/16/2026,
40109,PIAVE VECCHIO PDO > 6 MONTHS,10,,,,,,02206,MOUNTAIN ASIAGO FRESCO PDO WW,1304213,06/18/2026,24,,,710.06,01/07/2027,
40130,MONTASIO CHEESE PDO 1/4 WHEEL,41,,,,main Customer Ace Endico,,03014,ASIAGO VECCHIO PDO 1/4 WHEEL,1312795,07/23/2026,24,,,114.99,02/20/2027,
40140,RICOTTA SALATA SAPORITA,0,,,,not interesting for the stock,,03014,ASIAGO VECCHIO PDO 1/4 WHEEL,1304212,06/18/2026,10,,,49.936,01/09/2027,
40158,PIAVE VECCHIO PDO > 12 MONTHS Selezione Oro,60,,,,"Ace Endico, 30 in stock? ",,03023,ASIAGO AGED WHOLE WHEEL,1268920,01/29/2026,15,,,278.1,08/30/2026,EXT 12/31/26
40163,RICOTTA SALATA 7OZ,0,,,,we don't have project right now,,04028,DRUNKEN CHEESE WHOLE WHEEL (IMBRIAGO),1290754,04/24/2026,12,,,78.59,11/22/2026,
40167,PECORINO ROMANO 5.3 OZ,0,,,,,,04028,DRUNKEN CHEESE WHOLE WHEEL (IMBRIAGO),1300466,06/03/2026,4,,,23.95,10/22/2026,
